	xxx|yyy	player_name	tag	village_points	player_points	village_id	player_id	tribe_id	village_name
0	513|509	Huligan.gaz	HuntrX	977	82348	1	1098217	26	_112_
1	510|489	Kiborg2	-=ЛС=-	1045	50857	2	1448234	1	Деревня варваров
2	501|481	ziglor	GAME	7910	150908	3	372825	31	001
3	482|489	Анархия	Шпана	5935	52650	4	848941893	10	mid 004
4	550|517	Ayreaelis	HuntrY	7856	130488	5	2107610	34	007.Глубоководье
5	499|523	Neochem	HuntrX	7878	181710	6	148138	26	009 Ладушкино
6	554|508	KHAL	HuntrY	9788	85652	7	1989844	34	777
7	533|486	samat09	-=ЛС=-	2992	177136	8	394546	1	Мордор 2.4
8	492|517	Mighty Fall	HuntrX	9583	99287	9	1981863	26	007 Help Is On The Way
9	544|519	BrainBlast	HuntrY	8925	56053	10	848922728	34	003
10	497|521	Poker face	HuntrX	4819	30361	12	1505374	26	Деревня варваров 3
11	509|497	рыцарь ххх	-=ЛС=-	4770	105402	13	1186706	1	ххх
12	488|519	Anion	HuntrX	8837	79576	14	2016651	26	008. Здесь жил baha7 ;)
13	466|518	Rookie	NW	7447	93292	16	1601823	59	A.2 Silent Crusader
14	491|510	Anion	HuntrX	4722	79576	17	2016651	26	102. Здесь жил Alkaev ;)
15	489|483	Рыбак 007	Шпана	2275	63040	18	1703942	10	Лещ
16	555|511	Reckless Wanderer	HuntrX	7749	214685	19	1632070	26	Деревня варваров
17	526|531	Lorden	HuntrY	3245	73355	21	1624228	34	001.04 Капустное поле
18	552|511	Reckless Wanderer	HuntrX	6434	214685	22	1632070	26	.....
19	554|515	Предвестник Войны	HuntrЙ	7331	66373	23	848931262	77	Естественный отбор дерок 01
20	524|526	Шпак	HuntrY	2947	93849	24	2013557	34	013
21	540|516	Addari	HuntrY	9849	122427	26	848931730	34	002.1 Керри непослушная
22	516|487	ЛордАлесандро	-=ЛС=-	7497	183130	27	1280925	1	[010]БИЛАЗОРА
23	548|519	pikich	HuntrY	9697	90605	29	954475	34	003 Хардинг Молчун
24	552|507	Juventini	HuntrY	7885	59723	30	848914507	34	102
25	525|507	Oppa	HuntrY	1219	87149	31	848924513	34	(15)Oppa
26	540|521	pikich	HuntrY	5897	90605	32	954475	34	Деревня варваров
27	526|511	R0NIN	Живки	2553	36973	33	848944196	11	Визатор
28	479|529	Grozzz	HuntrX	9976	54013	34	848917128	26	03. эхехеех
29	486|535	Дану 2009	HuntrY	6390	28313	35	900324	34	004 NEST..
30	481|505	NeHeRTiti	NW.	2813	132083	36	848944347	70	Гробы-Кресты
31	555|513	Reckless Wanderer	HuntrX	7393	214685	37	1632070	26	Деревня варваров
32	468|520	chip197608	Шпана	4070	60260	39	1236536	10	TigerS
33	518|535	Zimm	HuntrX	8525	115140	40	1532987	26	{003} Steel
34	532|453	SUPERBIT2008	-=ЛС=-	9843	87656	41	274564	1	Успеешь?
35	544|472	biand	-=ЛС=-	7023	46351	42	848938501	1	002
36	531|453	Невидимый	-=ЛС=-	10479	55840	44	353201	1	Здесь живёт Невидимый
37	488|496	Барборос	-=ЛC=-	3219	76919	45	848905553	27	009.Барборос
38	548|472	Хришна	-=ЛС=-	6695	50783	46	951636	1	- = ЛС = -
39	503|504	idy na vy	HuntrX	1418	61636	49	2083685	26	~[10]~ Граф-99
40	473|490	Skmp	Шпана	5306	32487	50	848930715	10	nothing impossible
41	498|458	xCRYSISx	-=ЛС=-	10019	70094	51	444725	1	001.Саратов
42	522|451	Тюфяк	-=ЛС=-	9231	95657	53	848899351	1	003
43	504|475	Tsarfolk	-=ЛС=-	4187	46232	54	1927762	1	006
44	554|492	Galactic republic	-=ЛC=-	7781	81416	55	2097618	27	*005* Manaan
45	519|488	ЛордАлесандро	-=ЛС=-	717	183130	56	1280925	1	[031]БАКТРИЯ
46	516|533	Brutus	HuntrX	6404	40467	57	281990	26	002 Brutus
47	504|451	IIcux	-=ЛС=-	9870	53354	58	899516	1	ххх
48	462|505	doktor920	Шпана	7843	60891	59	1468939	10	-!-
49	543|476	Хришна	-=ЛС=-	9720	50783	60	951636	1	- = ЛС = -
50	466|522	Rookie	NW	7714	93292	61	1601823	59	A.5 Black Rose
51	527|461	Mal4uK	-=ЛС=-	9121	69352	62	1021565	1	001 Mal4uK
52	523|455	Zelinskij	-=ЛC=-	9643	44959	63	848905135	27	Бабкина деревня
53	519|469	тетя. Ася	-=ЛС=-	9774	52496	64	1084387	1	001
54	527|529	Addari	HuntrY	4137	122427	65	848931730	34	001.8 Деревня варваров
55	525|451	Макроша	-=ЛC=-	9805	37322	66	848937986	27	Пергам
56	526|504	Oppa	HuntrY	1043	87149	67	848924513	34	(16)Oppa
57	484|545	Desman	NW.	8904	37709	68	394180	70	/////
58	491|492	Like a Wind	GAME	10311	280395	70	1244572	31	Hardwired... to Self-Destruct
59	486|518	Anion	HuntrX	4143	79576	71	2016651	26	009. Здесь жил RussLord ;)
60	499|453	*zalina*	-=ЛС=-	8742	104339	72	1097487	1	001 Paris
61	498|520	Poker face	HuntrX	4445	30361	73	1505374	26	Деревня варваров 4
62	520|458	Izmailua337	-=ЛС=-	9556	56400	74	1116304	1	Здесь живёт Izmailua337
63	466|481	Valergen	Шпана	4613	89359	75	848914936	10	Деревня варваров
64	509|517	instrument flight	HuntrX	1152	8478	76	848878451	26	Не обращайся ко мне
65	543|464	tazjke	-=ЛС=-	8658	57123	77	848902778	1	002
66	463|502	stas932932	Шпана	1143	120454	78	1652619	10	Деревня варваров
67	535|496	VOVAN84	HuntrY	7044	71549	79	1504882	34	Буратино 1
68	508|445	рыцарь ххх	-=ЛС=-	8963	105402	80	1186706	1	ххх
69	498|474	n0n4eS	-=ЛС=-	7481	174023	81	2079486	1	Идущие на Слив 06
70	550|479	Joker 1978	-=ЛC=-	10279	23095	82	1190389	27	001 СПАРТА
71	517|505	Medvedyo	HuntrY	2171	96511	83	848924009	34	018-Ватер Севен
72	468|481	OstinOne	Апачи	6802	48262	84	848942533	40	ОПГ003
73	548|475	Брат	-=ЛC=-	8538	31824	85	1358161	27	Their name is Legion
74	540|480	Брат	-=ЛC=-	7731	31824	87	1358161	27	Their name is Legion
75	466|513	Дагир	NW	3719	67856	88	119100	59	Дагир 009
76	511|486	Kiborg2	-=ЛС=-	9346	50857	89	1448234	1	**1**
77	516|476	Fatiko	-=ЛС=-	1866	100550	90	848942719	1	017
78	498|504	Like a Wind	GAME	10247	280395	91	1244572	31	Hardwired... to Self-Destruct
79	522|473	-=НЕПОВТОРИМЫЙ=-	-=ЛС=-	9721	78135	93	1465651	1	@СЕНАТ@
80	478|508	KAPER KING	NW	3558	97977	94	1379783	59	Xylos
81	509|481	ЛордАлесандро	-=ЛС=-	9830	183130	95	1280925	1	[002]СПАРТА
82	557|500	samat09	-=ЛС=-	8290	177136	96	394546	1	Дворянин +
83	535|483	kam231269	-=ЛC=-	10723	30094	97	848919686	27	ЛЕГИОН 001
