,xxx|yyy,player_name,tag,village_points,player_points,village_id,player_id,tribe_id,village_name
0,477|526,Вadim,AVE!,9763,741144,1,1952613,35,Стриптиз Клуб Орыча
1,468|532,Вadim,AVE!,9643,741144,19,1952613,35,Мосин Орыча
2,471|510,Вadim,AVE!,9610,741144,63,1952613,35,Пьяный Смок
3,477|505,Вadim,AVE!,9759,741144,69,1952613,35,Дейдара
4,484|490,Вadim,AVE!,9979,741144,123,1952613,35,Здесь живёт gagarin777
5,485|488,Вadim,AVE!,8986,741144,124,1952613,35,Кахин Дом
6,471|531,Вadim,AVE!,9314,741144,161,1952613,35,Вороны Орыча
7,503|473,Вadim,AVE!,9454,741144,193,1952613,35,001
8,480|491,Вadim,AVE!,8268,741144,221,1952613,35,Рулич
9,504|471,Вadim,AVE!,9922,741144,330,1952613,35,-=012=-
10,484|488,Вadim,AVE!,9721,741144,379,1952613,35,БлокПост Орыча
11,472|523,Вadim,AVE!,9810,741144,527,1952613,35,Септик Орыча
12,476|527,Вadim,AVE!,9647,741144,528,1952613,35,Кальян Орыча
13,477|509,Вadim,AVE!,9561,741144,587,1952613,35,Мандаринка Орыча 1
14,475|502,Вadim,AVE!,9690,741144,639,1952613,35,Мудрый Орыч
15,503|471,Вadim,AVE!,9476,741144,665,1952613,35,-=024=-
16,485|520,Вadim,AVE!,9521,741144,674,1952613,35,Вонючие подмышки BadSmoka
17,477|523,Вadim,AVE!,9524,741144,676,1952613,35,Соленый хвост 228
18,486|489,Вadim,AVE!,8363,741144,744,1952613,35,три
19,477|506,Вadim,AVE!,9515,741144,756,1952613,35,Бросок Byzzla
20,484|492,Вadim,AVE!,9287,741144,760,1952613,35,()(-_-)()
21,475|508,Вadim,AVE!,9516,741144,882,1952613,35,Казань пала.
22,466|506,Вadim,AVE!,9925,741144,886,1952613,35,Закупаем прем на стенки
23,467|504,Вadim,AVE!,9553,741144,906,1952613,35,Здесь живёт wowcik
24,487|484,Вadim,AVE!,9360,741144,920,1952613,35,Бора-бора
25,472|501,Вadim,AVE!,8738,741144,1100,1952613,35,Деревня варваров
26,475|522,Вadim,AVE!,9686,741144,1121,1952613,35,Стальная Яичница Орыча
27,484|479,Вadim,AVE!,9741,741144,1161,1952613,35,Семь жизней
28,476|519,Вadim,AVE!,9555,741144,1173,1952613,35,Удача Интена
29,475|523,Вadim,AVE!,9666,741144,1182,1952613,35,Деревня Кабуто
30,484|469,Вadim,AVE!,9607,741144,1209,1952613,35,Юмор Орыча
31,474|524,Вadim,AVE!,9610,741144,1214,1952613,35,Жареный Окунь Орыча
32,474|523,Вadim,AVE!,9516,741144,1222,1952613,35,Пионы Орыча
33,465|492,Вadim,AVE!,9336,741144,1230,1952613,35,6. Mitte
34,468|507,Вadim,AVE!,9519,741144,1235,1952613,35,Лютики Орыча
35,464|500,Вadim,AVE!,10006,741144,1237,1952613,35,Пещера Орыча 1
36,465|500,Вadim,AVE!,10162,741144,1269,1952613,35,Бицепсы Орыча
37,464|499,Вadim,AVE!,9654,741144,1291,1952613,35,Мулатки в шоколаде Орыча
38,464|506,Вadim,AVE!,9353,741144,1299,1952613,35,Сон Орыча
39,478|529,Вadim,AVE!,10257,741144,1319,1952613,35,Глумливый Глумик
40,463|491,Вadim,AVE!,9314,741144,1351,1952613,35,Гамбургер Орыча
41,471|523,Вadim,AVE!,9141,741144,1367,1952613,35,Это офф хата
42,472|526,Вadim,AVE!,4712,741144,1403,1952613,35,Здесь живёт stasar
43,453|477,Вadim,AVE!,9629,741144,1518,1952613,35,Дыба Орыча
44,486|524,Вadim,AVE!,9314,741144,1555,1952613,35,Яблоня Орыча
45,461|487,Вadim,AVE!,9642,741144,1594,1952613,35,4. Eimsbüttel
46,470|532,Вadim,AVE!,9650,741144,1919,1952613,35,Hennessy Орыча
47,470|536,Вadim,AVE!,9636,741144,2161,1952613,35,Бонусная деревня
48,458|477,Вadim,AVE!,9561,741144,2197,1952613,35,Кувшин Воды Орыча
49,488|486,Вadim,AVE!,8733,741144,2226,1952613,35,Здесь
50,452|477,Вadim,AVE!,9610,741144,2350,1952613,35,Орыч в здании
51,456|473,Вadim,AVE!,9517,741144,2729,1952613,35,Кусь Орыча
52,457|470,Вadim,AVE!,10346,741144,2781,1952613,35,Бессмертный Орыч
53,470|529,Вadim,AVE!,9581,741144,2844,1952613,35,Логово Орочимару
54,456|471,Вadim,AVE!,9886,741144,2888,1952613,35,Щупальца Орыча
55,453|471,Вadim,AVE!,9556,741144,2946,1952613,35,Генеральские шуточки
56,458|505,Вadim,AVE!,9572,741144,2970,1952613,35,Соленые огурцы Rookie
57,447|489,Вadim,AVE!,9715,741144,2982,1952613,35,Алмата
58,484|489,Вadim,AVE!,9237,741144,2992,1952613,35,Гавайи
59,452|475,Вadim,AVE!,9624,741144,3045,1952613,35,Железный город Орыча
60,446|486,Вadim,AVE!,9535,741144,3058,1952613,35,Горем Интена
61,455|473,Вadim,AVE!,9980,741144,3156,1952613,35,Кара Орыча
62,454|468,Вadim,AVE!,9552,741144,3269,1952613,35,Виктория Орыча
63,447|479,Вadim,AVE!,8293,741144,3423,1952613,35,Церковь
